Country,GDP,Life_expectancy
Vietnam, 2.343,74.828243902
Vanuatu, 3.123,70.819487805
Thailand, 6.593,73.927658537
Solomon Islands, 2.132,67.465195122
Samoa, 4.360,72.306390244
Philippines, 2.988,68.484317073
Mongolia, 3.735,68.194975610
Malaysia, 9.944,74.024560976
Indonesia, 3.846,68.889658537
Fiji, 5.589,69.225829268
China, 8.826,73.273097561
Cambodia, 1.384,62.536219512
Uzbekistan, 1.504,68.001
Ukraine, 2.639,70.275609756
Turkmenistan, 7.355,64.863512195
Tajikistan, 0.800,67.259902439
Serbia, 5.900,73.936585366
Moldova, 2.289,68.903707317
Kosovo, 3.893,69.884390244
Kazakhstan, 8.837,68.295365854
Georgia, 4.078,73.327341463
Bulgaria, 8.031,73.512195122
Belarus, 5.726,70.404878049
Azerbaijan, 4.131,70.506512195
Armenia, 3.936,73.783560976
Albania, 4.537,76.900951220
Suriname, 5.900,70.335317073
Peru, 6.571,73.764975610
Paraguay, 4.365,72.277
Nicaragua, 2.221,73.729219512
Mexico, 8.902,76.683780488
Jamaica, 5.109,72.847121951
Honduras, 2.480,72.825926829
Haiti, 0.765,61.763
Guyana, 4.725,69.549146341
Guatemala, 4.470,70.825414634
El Salvador, 3.889,71.732365854
Ecuador, 6.198,75.462292683
Dominican Republic, 7.052,73.200024390
Colombia, 6.301,73.429682927
Brazil, 9.821,73.099536585
Bolivia, 3.393,66.268560976
Belize, 4.905,75.839951220
Tunisia, 3.490,74.6
Libya, 7.998,74.753121951
Lebanon, 8.523,72.408756098
Jordan, 4.129,73.289658537
Iraq, 5.165,68.486048780
Egypt, 2.412,72.975268293
Djibouti, 1.927,57.527390244
Algeria, 4.123,72.852536585
Pakistan, 1.547,65.198853659
Nepal, 0.835,68.394829268
India, 1.939,65.131341463
Bhutan, 3.110,66.908853659
Bangladesh, 1.516,68.634804878
Afghanistan, 0.585,48.282195122
Zimbabwe, 1.079,49.860878049
Zambia, 1.509,48.455487805
Uganda, 0.604,53.614634146
Togo, 0.617,56.588707317
Tanzania, 0.936,57.387487805
Swaziland, 3.224,48.342804878
Sudan, 2.898,61.108243902
South Africa, 6.160,52.081487805
Somalia, 0.499,50.895536585
Senegal, 1.033,58.954073171
Rwanda, 0.748,55.057121951
Nigeria, 1.968,51.410024390
Niger, 0.378,54.265634146
Namibia, 5.227,62.070097561
Mozambique, 0.415,49.696926829
Mauritania, 1.136,58.216951220
Malawi, 0.338,53.462634146
Madagascar, 0.449,66.467073171
Liberia, 0.456,56.147585366
Lesotho, 1.181,47.365073171
Kenya, 1.507,56.497073171
Guinea-Bissau, 0.723,47.700658537
Guinea, 0.824,53.638585366
Ghana, 1.641,63.837268293
Gabon, 7.220,62.286682927
Ethiopia, 0.767,58.715097561
Equatorial Guinea, 9.850,50.840804878
Comoros, 0.797,60.626268293
Chad, 0.669,49.194829268
Central African Republic, 0.418,47.618463415
Cameroon, 1.446,51.062756098
Burundi, 0.320,49.877219512
Botswana, 7.595,53.109512195
Benin, 0.829,55.585585366
Angola, 4.170,50.653658537
